rank,dish_type,composite_score,evidence_type,category,on_dinneroo,order_volume,survey_n,kid_friendly,adult_appeal,portion_flexibility,balanced_guilt_free,fussy_eater_friendly,customisation,value_at_25,shareability,vegetarian_option,on_dinneroo_menu,adult_appeal_measured,kid_friendly_measured,portion_flexibility_measured,measured_factor_count,balanced_guilt_free_source,fussy_eater_friendly_source,customisation_source,value_at_25_source,shareability_source,vegetarian_option_source,menu_item_count,kid_friendly_source,adult_appeal_source,portion_flexibility_source,reorder_rate,reorder_rate_measured
1,Rice Bowl,3.99,Measured,Proven Winner,True,6571,27.0,5,4,5,4,3,4,3,3,3,1,27.0,21.0,27.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
2,Fajitas,3.79,Measured,Proven Winner,True,812,18.0,4,5,5,3,3,4,3,3,3,1,18.0,18.0,18.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
3,Pho,3.65,Measured,Proven Winner,True,9113,130.0,4,5,4,4,3,3,3,3,3,1,129.0,95.0,128.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
4,Fried Rice,3.56,Measured,Proven Winner,True,11842,16.0,4,5,5,2,3,3,3,3,3,1,16.0,8.0,16.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
5,Shepherd's Pie,3.53,Measured,Solid Performer,True,663,5.0,3,5,5,3,3,3,3,3,3,1,5.0,4.0,5.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
6,Pad Thai,3.53,Measured,Proven Winner,True,5351,54.0,4,5,4,3,3,3,3,3,3,1,54.0,37.0,54.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
7,Pasta,3.52,Measured,Solid Performer,True,4250,56.0,4,3,4,3,4,3,3,3,3,1,56.0,56.0,56.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
8,Shawarma,3.44,Measured,Proven Winner,True,2603,26.0,4,4,4,3,3,3,3,3,3,1,26.0,15.0,26.0,4,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,1.0,1.0
9,Noodles,3.29,Measured,Solid Performer,True,11783,62.0,3,4,4,3,3,3,3,3,3,1,62.0,39.0,62.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
10,Pizza,3.29,Measured,Solid Performer,True,2289,95.0,3,3,4,2,4,3,3,4,3,1,94.0,110.0,95.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
11,Mac & Cheese,3.29,Measured,Proven Winner,True,928,23.0,4,4,3,3,3,3,3,3,3,1,23.0,21.0,23.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
12,Sushi,3.21,Measured,Underperformer,True,2508,30.0,2,5,4,3,3,3,3,3,3,1,30.0,25.0,30.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
13,Katsu Curry,3.18,Measured,Solid Performer,True,2300,167.0,3,4,3,3,3,3,3,4,3,1,166.0,190.0,166.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
14,Curry (General),3.18,Measured,Validated Gap,False,0,250.0,3,4,3,3,3,3,3,4,3,1,248.0,209.0,249.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
15,Hummus Platter,3.13,Estimated,Unvalidated Gap,False,0,,3,3,5,3,3,3,3,5,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
16,Burrito Bowl,3.11,Estimated,Unvalidated Gap,False,0,,3,3,4,4,3,4,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
17,Poke Bowl,3.11,Estimated,Unvalidated Gap,False,0,,3,3,4,4,3,4,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
18,Buddha Bowl,3.11,Estimated,Needs Validation,True,12,,3,3,4,4,3,4,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
19,Grain Bowl,3.11,Estimated,Unvalidated Gap,False,0,,3,3,4,4,3,4,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
20,Teriyaki Rice Bowl,3.11,Estimated,Needs Validation,True,3358,,3,3,4,4,3,4,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
21,Pasta Bolognese,3.04,Estimated,Unvalidated Gap,False,0,,4,3,3,3,4,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
22,Margherita Pizza,2.97,Estimated,Needs Validation,True,140,,4,3,3,2,4,3,3,4,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
23,Katsu,2.97,Measured,Solid Performer,True,19220,59.0,3,4,2,3,3,3,3,3,3,1,59.0,68.0,59.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
24,Halloumi Wrap,2.94,Estimated,Needs Validation,True,23,,3,3,3,3,3,4,3,3,5,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
25,Veggie Fajita,2.94,Estimated,Unvalidated Gap,False,0,,3,3,3,3,3,4,3,3,5,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
26,Stir Fry,2.88,Measured,Underperformer,True,128,3.0,1,1,5,3,3,3,3,3,3,1,3.0,2.0,3.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
27,Thai Green Curry,2.88,Estimated,Needs Validation,True,1133,,3,4,3,3,3,3,3,4,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
28,Mild Curry with Rice,2.88,Estimated,Unvalidated Gap,False,0,,3,4,3,3,3,3,3,4,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
29,Falafel Wrap,2.85,Estimated,Needs Validation,True,20,,3,3,3,3,3,4,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
30,Grilled Chicken with Sides,2.82,Estimated,Unvalidated Gap,False,0,,3,3,3,4,3,3,3,3,2,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
31,Chicken (General),2.76,Measured,Validated Gap,False,0,115.0,2,4,2,3,3,3,3,3,2,1,114.0,82.0,113.0,3,estimated,estimated,estimated,estimated,estimated,estimated,0,,,,,
32,Wings,2.75,Estimated,Needs Validation,True,1252,,3,3,3,3,3,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
33,Lasagne,2.75,Estimated,Needs Validation,True,3942,,3,3,3,3,3,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
34,Carbonara,2.75,Estimated,Needs Validation,True,172,,3,3,3,3,3,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
35,Burrito,2.75,Estimated,Needs Validation,True,51,,3,3,3,3,3,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
36,Biryani,2.75,Estimated,Needs Validation,True,713,,3,3,3,3,3,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
37,Tikka Masala,2.75,Estimated,Needs Validation,True,24,,3,3,3,3,3,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
38,Tacos,2.75,Estimated,Needs Validation,True,156,,3,3,3,3,3,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
39,Greek Mezze,2.75,Estimated,Unvalidated Gap,False,0,,3,3,3,3,3,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
40,Roast Dinner,2.75,Estimated,Unvalidated Gap,False,0,,3,3,3,3,3,3,3,3,3,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
41,Chicken Souvlaki,2.71,Estimated,Unvalidated Gap,False,0,,3,3,3,3,3,3,3,3,2,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
42,Fish & Chips,2.71,Estimated,Needs Validation,True,1,,3,3,3,3,3,3,3,3,2,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
43,Butter Chicken,2.71,Estimated,Needs Validation,True,1021,,3,3,3,3,3,3,3,3,2,1,,,,0,estimated,estimated,estimated,estimated,estimated,estimated,0,estimated,estimated,estimated,,
